0,7
0,8
0,9
0,10
1,7
1,12
1,39
2,10
2,11
2,38
2,39
3,9
3,13
3,37
3,38
3,42
3,43
4,8
4,9
4,11
4,12
4,24
4,36
4,37
4,38
5,9
5,11
5,12
5,23
5,24
5,28
5,38
6,10
6,20
6,24
6,25
6,27
6,31
7,19
7,21
7,25
7,28
7,32
8,18
8,19
8,21
8,22
8,24
8,27
8,32
9,19
9,26
9,29
9,32
10,19
10,20
10,22
10,26
10,29
11,20
11,25
12,12
12,13
12,14
12,22
12,23
12,29
12,32
12,33
13,29
13,30
13,31
13,34
14,16
14,21
14,22
14,23
14,29
14,30
14,33
14,34
15,16
16,2
16,3
16,16
16,38
17,2
17,3
17,38
18,12
18,13
18,14
18,18
18,19
19,17
19,20
20,18
20,19
20,24
21,23
21,25
22,23
22,25
23,24
23,38
23,39
24,29
24,30
24,31
24,37
24,38
24,39
24,40
25,22
25,29
25,30
25,31
25,36
25,38
25,41
26,21
26,23
26,27
26,28
26,29
26,32
26,33
26,35
26,36
26,37
26,42
27,8
27,9
27,22
27,23
27,27
27,28
27,29
27,30
27,32
27,35
27,41
28,7
28,10
28,27
28,28
28,32
28,36
28,39
28,40
29,7
29,9
29,28
29,31
29,33
29,34
29,39
30,8
30,30
30,37
31,12
31,13
31,29
31,32
31,35
32,12
32,13
32,32
32,33
32,34
33,32
34,28
34,30
34,31
35,27
35,31
36,26
36,27
36,31
36,33
36,34
37,6
37,7
37,26
37,27
37,29
37,33
37,34
38,6
38,7
38,17
38,18
38,22
38,31
38,33
38,34
39,17
39,18
39,22
39,28
39,29
40,22
40,31
40,32
49,3
49,4
50,3
50,4
51,26
51,27
52,26
52,27
53,15
53,16
54,9
54,10
54,15
54,17
55,8
55,11
55,16
56,8
56,10
56,36
56,37
56,38
57,9
58,44
60,26
60,27
60,28
60,36
60,37
61,36
61,37
62,14
63,13
63,15
64,14
65,7
65,8
66,7
66,8
67,16
67,17
67,18
68,17
68,18
69,16
69,17
69,18
